system:index,CO_density,City,date,.geo
000000000000000000cf_16,0.03964957640478607,Delhi,01-04-2020,
000000000000000000cf_17,0.041155704000495154,Delhi,01-05-2020,
000000000000000000cf_18,0.038202207617861084,Delhi,01-06-2020,
000000000000000000cf_19,0.03532122509370686,Delhi,01-07-2020,
000000000000000000cf_20,0.0336625053401914,Delhi,01-08-2020,
000000000000000000cf_21,0.03699246765722191,Delhi,01-09-2020,
000000000000000000cf_22,0.041570314225405566,Delhi,01-10-2020,
0000000000000000010e_0,0.045428411344507494,Delhi,01-12-2018,
0000000000000000010e_1,0.04356975113614145,Delhi,01-01-2019,
0000000000000000010e_2,0.04258055462591918,Delhi,01-02-2019,
0000000000000000010e_3,0.04124208292225022,Delhi,01-03-2019,
0000000000000000010e_4,0.04532641668374386,Delhi,01-04-2019,
0000000000000000010e_5,0.044855955796727076,Delhi,01-05-2019,
0000000000000000010e_6,0.04405914870543403,Delhi,01-06-2019,
0000000000000000010e_7,0.03726683034676617,Delhi,01-07-2019,
0000000000000000010e_8,0.03777763876811285,Delhi,01-08-2019,
0000000000000000010e_9,0.036721728218347335,Delhi,01-09-2019,
0000000000000000010e_10,0.04240361508660821,Delhi,01-10-2019,
0000000000000000010e_11,0.04493285018364276,Delhi,01-11-2019,
0000000000000000010e_12,0.04643342439719291,Delhi,01-12-2019,
0000000000000000010e_13,0.04421492298596522,Delhi,01-01-2020,
0000000000000000010e_14,0.04571975199427185,Delhi,01-02-2020,
0000000000000000010e_15,0.04020260492673519,Delhi,01-03-2020,
0000000000000000010e_16,0.0393320085025966,Delhi,01-04-2020,
0000000000000000010e_17,0.04177754846229914,Delhi,01-05-2020,
0000000000000000010e_18,0.03997308317635469,Delhi,01-06-2020,
0000000000000000010e_19,0.03832557370157088,Delhi,01-07-2020,
0000000000000000010e_20,0.035391514483944175,Delhi,01-08-2020,
0000000000000000010e_21,0.03975920642446217,Delhi,01-09-2020,
0000000000000000010e_22,0.04540267042794004,Delhi,01-10-2020,
00000000000000000014_0,0.04294885950572666,Delhi,01-12-2018,
00000000000000000014_1,0.04189643286595207,Delhi,01-01-2019,
00000000000000000014_2,0.041171451592610146,Delhi,01-02-2019,
00000000000000000014_3,0.03946735994629065,Delhi,01-03-2019,
00000000000000000014_4,0.043084651131860316,Delhi,01-04-2019,
00000000000000000014_5,0.043297715776214316,Delhi,01-05-2019,
00000000000000000014_6,0.04136172807279084,Delhi,01-06-2019,
00000000000000000014_7,0.036623985399799906,Delhi,01-07-2019,
00000000000000000014_8,0.03744936101055474,Delhi,01-08-2019,
00000000000000000014_9,0.03899305214633997,Delhi,01-09-2019,
00000000000000000014_10,0.04497761258607867,Delhi,01-10-2019,
00000000000000000014_11,0.042245380825551244,Delhi,01-11-2019,
00000000000000000014_12,0.043894450047431546,Delhi,01-12-2019,
00000000000000000014_13,0.040922068243448684,Delhi,01-01-2020,
00000000000000000014_14,0.04327856582194615,Delhi,01-02-2020,
00000000000000000014_15,0.03968749756924534,Delhi,01-03-2020,
00000000000000000014_16,0.0389563172305919,Delhi,01-04-2020,
00000000000000000014_17,0.0414056674641513,Delhi,01-05-2020,
00000000000000000014_18,0.03958834707463988,Delhi,01-06-2020,
00000000000000000014_19,0.037767890881637796,Delhi,01-07-2020,
00000000000000000014_20,0.0355516523586013,Delhi,01-08-2020,
00000000000000000014_21,0.03814816853743217,Delhi,01-09-2020,
00000000000000000014_22,0.04260990651843809,Delhi,01-10-2020,
0000000000000000002f_0,0.04232085516137041,Delhi,01-12-2018,
0000000000000000002f_1,0.043320649537845646,Delhi,01-01-2019,
0000000000000000002f_2,0.04098107725366654,Delhi,01-02-2019,
0000000000000000002f_3,0.0393838232224678,Delhi,01-03-2019,
0000000000000000002f_4,0.04384117156099567,Delhi,01-04-2019,
0000000000000000002f_5,0.04365178524126349,Delhi,01-05-2019,
0000000000000000002f_6,0.042788602065073775,Delhi,01-06-2019,
0000000000000000002f_7,0.03616427717415099,Delhi,01-07-2019,
0000000000000000002f_8,0.037643870169936686,Delhi,01-08-2019,
0000000000000000002f_9,0.03686578342378539,Delhi,01-09-2019,
0000000000000000002f_10,0.0430675753042358,Delhi,01-10-2019,
0000000000000000002f_11,0.04658148902477808,Delhi,01-11-2019,
0000000000000000002f_12,0.044871778316036344,Delhi,01-12-2019,
0000000000000000002f_13,0.04107496367924174,Delhi,01-01-2020,
0000000000000000002f_14,0.042953671377978606,Delhi,01-02-2020,
0000000000000000002f_15,0.039791846113268935,Delhi,01-03-2020,
0000000000000000002f_16,0.0393705858676058,Delhi,01-04-2020,
0000000000000000002f_17,0.042227577716854314,Delhi,01-05-2020,
0000000000000000002f_18,0.039178847181570005,Delhi,01-06-2020,
0000000000000000002f_19,0.037568988269326795,Delhi,01-07-2020,
0000000000000000002f_20,0.03514153464541562,Delhi,01-08-2020,
0000000000000000002f_21,0.0395440297595966,Delhi,01-09-2020,
0000000000000000002f_22,0.045284049808046276,Delhi,01-10-2020,
0000000000000000009f_0,0.04262853403313149,Delhi,01-12-2018,
0000000000000000009f_1,0.04220144215762065,Delhi,01-01-2019,
0000000000000000009f_2,0.040491925546398404,Delhi,01-02-2019,
0000000000000000009f_3,0.038122799752170776,Delhi,01-03-2019,
0000000000000000009f_4,0.04185352096755365,Delhi,01-04-2019,
0000000000000000009f_5,0.043729119659763865,Delhi,01-05-2019,
0000000000000000009f_6,0.04057333295002465,Delhi,01-06-2019,
0000000000000000009f_7,0.037266795346399956,Delhi,01-07-2019,
0000000000000000009f_8,0.0377001915661315,Delhi,01-08-2019,
0000000000000000009f_9,0.03769854025266637,Delhi,01-09-2019,
0000000000000000009f_10,0.04266591182478775,Delhi,01-10-2019,
0000000000000000009f_11,0.04220427346677029,Delhi,01-11-2019,
0000000000000000009f_12,0.040417394740844687,Delhi,01-12-2019,
0000000000000000009f_13,0.03994778324219411,Delhi,01-01-2020,
0000000000000000009f_14,0.04254420639908175,Delhi,01-02-2020,
0000000000000000009f_15,0.038184253919291644,Delhi,01-03-2020,
0000000000000000009f_16,0.0396145864898945,Delhi,01-04-2020,
0000000000000000009f_17,0.04285287125348162,Delhi,01-05-2020,
0000000000000000009f_18,0.039312346976597835,Delhi,01-06-2020,
0000000000000000009f_19,0.037677951828420424,Delhi,01-07-2020,
0000000000000000009f_20,0.034531371615997224,Delhi,01-08-2020,
0000000000000000009f_21,0.038049369572413616,Delhi,01-09-2020,
0000000000000000009f_22,0.0440016997685339,Delhi,01-10-2020,
000000000000000000a5_0,0.04192327705875909,Delhi,01-12-2018,
000000000000000000a5_1,0.04150305854591374,Delhi,01-01-2019,
000000000000000000a5_2,0.03990863246994144,Delhi,01-02-2019,
